tokenname;genger;origin;
LODIA;F;bielsko;
LOEOKADIA;F;bielsko;
LONGIN;F;bielsko;
LONGINA;F;bielsko;
LORETA;F;bielsko;
LUBOMIRA;F;bielsko;
LUBOW;F;bielsko;
LUCJA;F;bielsko;
LUCJAN;F;bielsko;
LUCJANA;F;bielsko;
LUCYLA;F;bielsko;
LUCYLIA;F;bielsko;
LUCYLLA;F;bielsko;
LUCYNA;F;bielsko;
LUDMIŁA;F;bielsko;
LUDMIŁA==;F;bielsko;
LUDWIKA;F;bielsko;
LUDWINA;F;bielsko;
LUITGARDA;F;bielsko;
LUIZA;F;bielsko;
LUZ-MARCELA;F;bielsko;
ŁUCJA;F;bielsko;
ŁUCJA, GOTFRYD;F;bielsko;
ŁUKASZ;F;bielsko;
MACIEJ;F;bielsko;
MADGALENA;F;bielsko;
MAGADLENA;F;bielsko;
MAGALENA;F;bielsko;
MAGDA;F;bielsko;
MAGDALENA;F;bielsko;
MAGDALENA==;F;bielsko;
MAGDELENA;F;bielsko;
MAGORZATA;F;bielsko;
MAJA;F;bielsko;
MAKSYMILIA;F;bielsko;
MAKSYMILIANA;F;bielsko;
MALGORZATA;F;bielsko;
MALWINA;F;bielsko;
MAŁGORZARA;F;bielsko;
MAŁGORZATA;F;bielsko;
MAŁGORZATA "ROMAX";F;bielsko;
MAŁGORZATA PRZEDS.USTAWO;F;bielsko;
MAŁGORZATA,FRANCISZEK;F;bielsko;
MAŁGORZTA;F;bielsko;
MAŁOGORZATA;F;bielsko;
MAŁOGRZATA;F;bielsko;
MANFRED;F;bielsko;
MANUELA;F;bielsko;
MARA;F;bielsko;
MARCELA;F;bielsko;
MARCELINA;F;bielsko;
MARCIN;F;bielsko;
MARCJANNA;F;bielsko;
MAREK;F;bielsko;
MARGIT;F;bielsko;
MARIA;F;bielsko;
MARIAI JÓZEF;F;bielsko;
MARIA ANTONINA;F;bielsko;
MARIA JANINA;F;bielsko;
MARIA-MAGDALENA;F;bielsko;
MARIA-YASMINA;F;bielsko;
MARIA==;F;bielsko;
MARIAN;F;bielsko;
MARIANA;F;bielsko;
MARIANNA;F;bielsko;
MARIETTA;F;bielsko;
MARIIA;F;bielsko;
MARIKA;F;bielsko;
MARINA;F;bielsko;
MARINE;F;bielsko;
MARIOLA;F;bielsko;
MARION;F;bielsko;
MARITA;F;bielsko;
MARIUSZ;F;bielsko;
MARIYA;F;bielsko;
MARLENA;F;bielsko;
MARTA;F;bielsko;
MARTYNA;F;bielsko;
MARYLA;F;bielsko;
MARYNA;F;bielsko;
MARZANNA;F;bielsko;
MARZENA;F;bielsko;
MARZENNA;F;bielsko;
MATYLDA;F;bielsko;
MAYA;F;bielsko;
MELANIA;F;bielsko;
MGDALENA;F;bielsko;
MIA;F;bielsko;
MICHAELA;F;bielsko;
MICHALINA;F;bielsko;
MICHAŁ;F;bielsko;
MIECZYSŁAW;F;bielsko;
MIECZYSŁAWA;F;bielsko;
MILENA;F;bielsko;
MILENIA;F;bielsko;
MIŁOSŁAWA;F;bielsko;
MIRA;F;bielsko;
MIRANDA;F;bielsko;
MIRELA;F;bielsko;
MIRENA;F;bielsko;
MIROSŁAW;F;bielsko;
MIROSŁAWA;F;bielsko;
MODESTA;F;bielsko;
MONICA;F;bielsko;
MONIIKA;F;bielsko;
MONIKA;F;bielsko;
MONIQUE;F;bielsko;
NADEJDA;F;bielsko;
NADIA;F;bielsko;
NADIIA;F;bielsko;
NADIJA;F;bielsko;
NADYA;F;bielsko;
NADZIEJA;F;bielsko;
NARGES;F;bielsko;
NARINE;F;bielsko;
NATALIA;F;bielsko;
NATALIIA;F;bielsko;
NATALIJA;F;bielsko;
NATALIYA;F;bielsko;
NATASZA;F;bielsko;
NELLA;F;bielsko;
NICOLA;F;bielsko;
NICOLE;F;bielsko;
NIKOLA;F;bielsko;
NINA;F;bielsko;
NINEL;F;bielsko;
NINETA;F;bielsko;
OKSANA;F;bielsko;
OLENA;F;bielsko;
OLGA;F;bielsko;
OLHA;F;bielsko;
OLIMPIA;F;bielsko;
OLIVIA;F;bielsko;
OLIWIA;F;bielsko;
OLUWATOSIN;F;bielsko;
OŁENA;F;bielsko;
ORIANA;F;bielsko;
OTOLIA;F;bielsko;
OTTO;F;bielsko;
OTTON;F;bielsko;
OTYLIA;F;bielsko;
PAMELA;F;bielsko;
PATRYCJA;F;bielsko;
PAULA;F;bielsko;
PAULINA;F;bielsko;
PAWEŁ;F;bielsko;
PELAGIA;F;bielsko;
PEŁNOMOCNIK;F;bielsko;
PETRONELA;F;bielsko;
PIOTR;F;bielsko;
PIOTR==;F;bielsko;
PO J.E. KOBIELA;F;bielsko;
POLA;F;bielsko;
POULA;F;bielsko;
PPH "BHP-KRÓJ II";F;bielsko;
PRZEMYSŁAW;F;bielsko;
PRZEMYSŁAWA;F;bielsko;
RACHELA;F;bielsko;
RADOSŁAW;F;bielsko;
RADOSŁAWA;F;bielsko;
RAFAELA;F;bielsko;
RAFAŁ;F;bielsko;
RAISA;F;bielsko;
RAJMUNDA;F;bielsko;
RALUCA;F;bielsko;
RAMONA;F;bielsko;
RANIA;F;bielsko;
REGINA;F;bielsko;
REGINA==;F;bielsko;
REMIGIUSZ;F;bielsko;
RENA;F;bielsko;
RENALDA;F;bielsko;
RENATA;F;bielsko;
RENETA;F;bielsko;
RITA;F;bielsko;
ROKSANA;F;bielsko;
ROMA;F;bielsko;
ROMAN;F;bielsko;
ROMANA;F;bielsko;
ROMANELA;F;bielsko;
ROMUALDA;F;bielsko;
ROSITA;F;bielsko;
ROSWITA;F;bielsko;
ROZALIA;F;bielsko;
ROZALIA (C.WOJCIECHA);F;bielsko;
ROZETTA;F;bielsko;
ROZWITA;F;bielsko;
RÓŻA;F;bielsko;
RUDOLF;F;bielsko;
RUDOLF==;F;bielsko;
RUTA;F;bielsko;
RUTH;F;bielsko;
RYSZARD;F;bielsko;
RYSZARD==;F;bielsko;
RYSZARDA;F;bielsko;
SABIINA;F;bielsko;
SABINA;F;bielsko;
SALOMEA;F;bielsko;
SAMANTA;F;bielsko;
SAMANTHA;F;bielsko;
SAMBOR;F;bielsko;
SANDRA;F;bielsko;
SANTA;F;bielsko;
SARA;F;bielsko;
SARACHA;F;bielsko;
SASZKA;F;bielsko;
SERAFINA;F;bielsko;
SIEGRID;F;bielsko;
SILVIA;F;bielsko;
SŁAWA;F;bielsko;
SŁAWOMIŁA;F;bielsko;
SŁAWOMIR;F;bielsko;
SŁAWOMIRA;F;bielsko;
SOFIIA;F;bielsko;
SONA;F;bielsko;
SONIA;F;bielsko;
STANIASŁAWA;F;bielsko;
STANISLAVA;F;bielsko;
STANISLAWA;F;bielsko;
STANISŁAW;F;bielsko;
STANISŁAWA;F;bielsko;
STANISŁAWA BRONISŁAW;F;bielsko;
STANSŁAWA;F;bielsko;
STEFANIA;F;bielsko;
STEFANIA==;F;bielsko;
STELLA;F;bielsko;
STENIA;F;bielsko;
SVETLANA;F;bielsko;
SVIETLANA;F;bielsko;
SWIETŁANA;F;bielsko;
SYBILLA;F;bielsko;
SYDONIA;F;bielsko;
SYLWIA;F;bielsko;
SZARLOTA;F;bielsko;
SZYRLEJ;F;bielsko;
ŚARKA;F;bielsko;
TADEUSZ;F;bielsko;
TAISA;F;bielsko;
TAMARA;F;bielsko;
TATIANA;F;bielsko;
TATJANA;F;bielsko;
TEKLA;F;bielsko;
TELIMENA;F;bielsko;
